material,Z_material,A_material,Z,A,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12
Silicium,14.0,28.0855,84.,210.,1.611,0.5634,-0.01084,0.02115,0.002647,-0.0006047,-2.364,0.7156,0.9065,-0.3315,0.04547,-0.002219
Silicium,14.0,28.0855,85.,211.,1.607,0.5632,-0.01105,0.02111,0.002621,-0.0005995,-2.359,0.7184,0.9056,-0.3315,0.04551,-0.002223
Silicium,14.0,28.0855,86.,211.,1.599,0.5629,-0.01124,0.02106,0.002596,-0.0005942,-2.352,0.73,0.8998,-0.3306,0.04548,-0.002227
Silicium,14.0,28.0855,87.,221.,1.636,0.5629,-0.01148,0.02103,0.002568,-0.0005887,-2.375,0.6572,0.9391,-0.3376,0.04589,-0.002225
Silicium,14.0,28.0855,88.,226.,1.65,0.5628,-0.01168,0.021,0.00254,-0.0005831,-2.382,0.627,0.9553,-0.3404,0.04606,-0.002225
Silicium,14.0,28.0855,89.,225.,1.638,0.5627,-0.01183,0.02095,0.002513,-0.0005777,-2.373,0.6477,0.9445,-0.3385,0.04595,-0.002227
Silicium,14.0,28.0855,90.,232.,1.66,0.5627,-0.01202,0.02091,0.002484,-0.0005719,-2.385,0.6018,0.9686,-0.3426,0.04618,-0.002225
Silicium,14.0,28.0855,91.,231.,1.648,0.5625,-0.01215,0.02086,0.002455,-0.0005662,-2.376,0.6225,0.9577,-0.3406,0.04605,-0.002225
Silicium,14.0,28.0855,92.,238.,1.67,0.5626,-0.01232,0.02081,0.002427,-0.0005606,-2.387,0.5781,0.9804,-0.3443,0.04622,-0.00222
Silicium,14.0,28.0855,93.,239.,1.666,0.5626,-0.01245,0.02077,0.002397,-0.0005548,-2.384,0.5828,0.9775,-0.3436,0.04615,-0.002218
Silicium,14.0,28.0855,94.,239.,1.659,0.5625,-0.01256,0.02071,0.002368,-0.000549,-2.378,0.5957,0.9703,-0.3421,0.04602,-0.002215
Silicium,14.0,28.0855,95.,243.,1.668,0.5626,-0.01269,0.02066,0.002338,-0.0005432,-2.382,0.5765,0.9795,-0.3434,0.04604,-0.00221
Silicium,14.0,28.0855,96.,245.,1.669,0.5626,-0.01281,0.02061,0.002309,-0.0005374,-2.381,0.5736,0.9803,-0.3431,0.04597,-0.002205
Silicium,14.0,28.0855,97.,248.,1.673,0.5627,-0.0129,0.02056,0.002278,-0.0005313,-2.382,0.5633,0.9846,-0.3434,0.04591,-0.002199
Silicium,14.0,28.0855,98.,249.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silicium,14.0,28.0855,99.,254.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silicium,14.0,28.0855,100.,252.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mylar,4.55,8.7351,1.,1.,0.9435,1.577,0.08671,-0.01634,0.001885,-0.0001336,-0.6187,0.7095,-0.0493,0.008294,-0.0007041,2.359e-05
Mylar,4.55,8.7351,2.,4.,1.044,1.454,0.1395,-0.02414,0.001769,-6.188e-05,-0.8086,0.9368,-0.1444,0.02583,-0.002163,6.847e-05
Mylar,4.55,8.7351,3.,7.,0.9206,1.25,0.2163,-0.01359,-0.007415,0.001038,-0.897,1.205,-0.2687,0.05342,-0.005043,0.0001811
Mylar,4.55,8.7351,4.,9.,0.7732,1.151,0.2143,-0.005163,-0.008541,0.001041,-0.8076,1.22,-0.2564,0.04919,-0.004581,0.0001647
Mylar,4.55,8.7351,5.,11.,0.6788,1.076,0.211,0.0006973,-0.009105,0.001016,-0.755,1.25,-0.2554,0.04744,-0.004336,0.0001546
Mylar,4.55,8.7351,6.,12.,0.5194,1.026,0.2082,0.002955,-0.008908,0.0009488,-0.5961,1.246,-0.2616,0.05085,-0.004886,0.000183
Mylar,4.55,8.7351,7.,14.,0.4648,0.9851,0.2066,0.005403,-0.009123,0.0009406,-0.5568,1.272,-0.2706,0.05278,-0.005107,0.000193
Mylar,4.55,8.7351,8.,16.,0.4395,0.9439,0.2037,0.007507,-0.009079,0.0009025,-0.5524,1.321,-0.2888,0.05681,-0.005563,0.0002131
Mylar,4.55,8.7351,9.,19.,0.4893,0.9063,0.1978,0.009431,-0.008731,0.0008264,-0.6464,1.407,-0.3155,0.06134,-0.00597,0.0002281
Mylar,4.55,8.7351,10.,20.,0.4423,0.8717,0.1912,0.01115,-0.008312,0.0007449,-0.6045,1.431,-0.3231,0.06317,-0.00622,0.0002413
Mylar,4.55,8.7351,11.,23.,0.4965,0.8472,0.1809,0.01287,-0.007677,0.0006363,-0.6955,1.484,-0.3242,0.06027,-0.005689,0.0002134
Mylar,4.55,8.7351,12.,24.,0.46,0.824,0.1729,0.01435,-0.007199,0.0005521,-0.6552,1.484,-0.3143,0.05664,-0.005202,0.0001907
Mylar,4.55,8.7351,13.,27.,0.5054,0.8046,0.1652,0.01555,-0.00673,0.0004747,-0.7346,1.53,-0.3162,0.05421,-0.004727,0.0001648
Mylar,4.55,8.7351,14.,28.,0.4759,0.7874,0.1581,0.01649,-0.006271,0.0004028,-0.6992,1.529,-0.3065,0.05061,-0.004223,0.0001401
Mylar,4.55,8.7351,15.,31.,0.5168,0.7727,0.1513,0.01728,-0.00583,0.0003364,-0.7704,1.567,-0.3058,0.04778,-0.003713,0.0001126
Mylar,4.55,8.7351,16.,32.,0.4929,0.7593,0.145,0.01793,-0.00541,0.0002751,-0.7407,1.565,-0.2964,0.0442,-0.003191,8.593e-05
Mylar,4.55,8.7351,17.,35.,0.5306,0.7476,0.1389,0.01848,-0.005007,0.0002178,-0.8064,1.597,-0.2937,0.04101,-0.002642,5.656e-05
Mylar,4.55,8.7351,18.,40.,0.6159,0.7369,0.1332,0.01894,-0.004627,0.0001651,-0.9512,1.656,-0.2958,0.0381,-0.002091,2.687e-05
Mylar,4.55,8.7351,19.,39.,0.5465,0.7266,0.1279,0.01932,-0.004261,0.0001153,-0.844,1.625,-0.2819,0.03435,-0.001573,-4.61e-07
Mylar,4.55,8.7351,20.,40.,0.5308,0.717,0.123,0.01964,-0.003916,6.924e-05,-0.8245,1.627,-0.2748,0.0312,-0.001073,-2.787e-05
Mylar,4.55,8.7351,21.,45.,0.6096,0.7083,0.1182,0.01992,-0.003589,2.624e-05,-0.9603,1.679,-0.275,0.02809,-0.0005174,-5.714e-05
Mylar,4.55,8.7351,22.,48.,0.6375,0.7001,0.1137,0.02017,-0.003284,-1.335e-05,-1.013,1.701,-0.2698,0.02459,5.365e-05,-8.751e-05
