energy_per_nucleon_mev,range_micron,A,Z,Z_material,A_material
6.0,276.48068669527896,7,3,14,28
6.5,267.81115879828326,7,3,14,28
7.0,303.2188841201717,7,3,14,28
8.0,379.95708154506434,7,3,14,28
9.0,464.3347639484978,7,3,14,28
10.0,556.2660944206009,7,3,14,28
11.0,655.6223175965664,7,3,14,28
12.0,762.2317596566523,7,3,14,28
15.0,1124.892703862661,7,3,14,28
20.0,1865.236051502146,7,3,14,28
25.0,2768.2403433476393,7,3,14,28
30.0,3826.1802575107295,7,3,14,28
35.0,5031.759656652361,7,3,14,28
40.0,6381.974248927038,7,3,14,28
45.0,7866.9527896995705,7,3,14,28
50.0,9489.270386266095,7,3,14,28
55.0,11236.051502145921,7,3,14,28
60.0,13111.587982832618,7,3,14,28
65.0,15111.587982832618,7,3,14,28
70.0,17231.75965665236,7,3,14,28
80.0,21815.45064377682,7,3,14,28
90.0,26849.78540772532,7,3,14,28
100.0,32313.304721030043,7,3,14,28
150.0,65527.89699570815,7,3,14,28
200.0,107497.85407725321,7,3,14,28
250.0,156896.99570815449,7,3,14,28
300.0,212377.68240343346,7,3,14,28
350.0,273124.4635193133,7,3,14,28
400.0,338467.8111587983,7,3,14,28
450.0,412154.5064377682,7,3,14,28
500.0,480841.2017167382,7,3,14,28
2.5,46.13733905579399,9,4,14,28
3.0,59.85407725321888,9,4,14,28
3.5,75.14163090128754,9,4,14,28
4.0,91.98283261802574,9,4,14,28
4.5,114.63519313304721,9,4,14,28
5.0,130.2145922746781,9,4,14,28
5.5,151.5450643776824,9,4,14,28
6.0,174.37768240343348,9,4,14,28
6.5,198.62660944206007,9,4,14,28
7.0,224.33476394849785,9,4,14,28
8.0,279.91416309012874,9,4,14,28
9.0,341.1587982832618,9,4,14,28
10.0,407.6394849785408,9,4,14,28
11.0,479.57081545064375,9,4,14,28
12.0,556.7381974248926,9,4,14,28
15.0,818.8841201716738,9,4,14,28
20.0,1354.9356223175964,9,4,14,28
25.0,2007.725321888412,9,4,14,28
30.0,2772.961373390558,9,4,14,28
35.0,3645.064377682403,9,4,14,28
40.0,4620.600858369098,9,4,14,28
45.0,5695.7081545064375,9,4,14,28
50.0,6867.381974248926,9,4,14,28
55.0,8133.047210300429,9,4,14,28
60.0,9489.69957081545,9,4,14,28
65.0,10935.622317596566,9,4,14,28
70.0,12467.811158798282,9,4,14,28
80.0,15785.407725321887,9,4,14,28
90.0,19424.89270386266,9,4,14,28
100.0,23373.390557939914,9,4,14,28
150.0,47394.84978540772,9,4,14,28
200.0,77751.07296137339,9,4,14,28
250.0,113476.3948497854,9,4,14,28
300.0,153600.8583690987,9,4,14,28
350.0,197532.1888412017,9,4,14,28
400.0,244789.69957081543,9,4,14,28
450.0,294978.5407725322,9,4,14,28
500.0,347759.6566523605,9,4,14,28
2.5,39.227467811158796,11,5,14,28
3.0,50.227467811158796,11,5,14,28
3.5,62.429184549356215,11,5,14,28
4.0,75.81115879828326,11,5,14,28
4.5,90.36909871244634,11,5,14,28
5.0,106.09442060085836,11,5,14,28
5.5,122.91845493562231,11,5,14,28
6.0,140.90128755364805,11,5,14,28
6.5,160.0429184549356,11,5,14,28
7.0,180.25751072961373,11,5,14,28
8.0,223.94849785407723,11,5,14,28
9.0,271.931330472103,11,5,14,28
10.0,324.16309012875536,11,5,14,28
11.0,380.55793991416306,11,5,14,28
12.0,441.0300429184549,11,5,14,28
15.0,646.3519313304721,11,5,14,28
20.0,1065.6652360515022,11,5,14,28
25.0,1576.8240343347638,11,5,14,28
30.0,2175.107296137339,11,5,14,28
35.0,2857.5107296137335,11,5,14,28
40.0,3620.6008583690987,11,5,14,28
45.0,4461.8025751072955,11,5,14,28
50.0,5378.111587982832,11,5,14,28
55.0,6368.240343347639,11,5,14,28
60.0,7429.613733905579,11,5,14,28
65.0,8562.231759656652,11,5,14,28
70.0,9759.656652360514,11,5,14,28
80.0,12351.931330472102,11,5,14,28
90.0,15201.716738197423,11,5,14,28
100.0,18291.845493562232,11,5,14,28
150.0,37081.54506437768,11,5,14,28
200.0,60824.03433476394,11,5,14,28
250.0,88772.5321888412,11,5,14,28
300.0,120158.7982832618,11,5,14,28
350.0,154519.31330472103,11,5,14,28
400.0,191489.2703862661,11,5,14,28
450.0,230746.78111587983,11,5,14,28
500.0,272030.0429184549,11,5,14,28
2.5,32.14592274678112,12,6,14,28
3.0,40.742489270386265,12,6,14,28
3.5,50.21888412017167,12,6,14,28
4.0,60.57081545064377,12,6,14,28
4.5,71.78969957081544,12,6,14,28
5.0,83.862660944206,12,6,14,28
5.5,96.82403433476394,12,6,14,28
6.0,110.6008583690987,12,6,14,28
6.5,125.1931330472103,12,6,14,28
7.0,140.64377682403435,12,6,14,28
8.0,173.99141630901286,12,6,14,28
9.0,210.5579399141631,12,6,14,28
10.0,250.34334763948496,12,6,14,28
11.0,293.21888412017165,12,6,14,28
12.0,339.18454935622316,12,6,14,28
15.0,495.15021459227466,12,6,14,28
20.0,813.2188841201715,12,6,14,28
25.0,1200.6437768240344,12,6,14,28
30.0,1654.1630901287554,12,6,14,28
35.0,2171.2017167381973,12,6,14,28
40.0,2749.3562231759656,12,6,14,28
45.0,3386.695278969957,12,6,14,28
50.0,4081.115879828326,12,6,14,28
55.0,4830.901287553647,12,6,14,28
60.0,5635.19313304721,12,6,14,28
65.0,6493.562231759656,12,6,14,28
70.0,7399.1416309012875,12,6,14,28
80.0,9364.80686695279,12,6,14,28
90.0,11523.605150214591,12,6,14,28
100.0,14248.927038626609,12,6,14,28
150.0,28098.71244635193,12,6,14,28
200.0,46085.83690987124,12,6,14,28
250.0,67257.51072961373,12,6,14,28
300.0,91034.3347639485,12,6,14,28
350.0,117060.08583690987,12,6,14,28
400.0,145072.96137339054,12,6,14,28
450.0,174815.45064377683,12,6,14,28
500.0,206090.1287553648,12,6,14,28
2.5,29.399141630901283,14,7,14,28
3.0,37.02575107296138,14,7,14,28
3.5,45.3862660944206,14,7,14,28
4.0,54.48068669527897,14,7,14,28
4.5,64.30472103004291,14,7,14,28
5.0,74.84978540772532,14,7,14,28
5.5,86.09442060085836,14,7,14,28
6.0,98.11158798283262,14,7,14,28
6.5,110.7725321888412,14,7,14,28
7.0,124.16309012875536,14,7,14,28
8.0,153.00429184549355,14,7,14,28
9.0,184.6351931330472,14,7,14,28
10.0,218.92703862660943,14,7,14,28
11.0,255.87982832618025,14,7,14,28
12.0,295.45064377682405,14,7,14,28
15.0,429.61373390557935,14,7,14,28
20.0,702.7896995708154,14,7,14,28
25.0,1035.1931330472103,14,7,14,28
30.0,1424.2060085836908,14,7,14,28
35.0,1867.5536480686694,14,7,14,28
40.0,2363.0901287553647,14,7,14,28
45.0,2909.4420600858366,14,7,14,28
50.0,3504.7210300429183,14,7,14,28
55.0,4147.63948497854,14,7,14,28
60.0,4836.909871244635,14,7,14,28
65.0,5570.815450643777,14,7,14,28
70.0,6347.63948497854,14,7,14,28
80.0,8034.334763948497,14,7,14,28
90.0,9884.12017167382,14,7,14,28
100.0,11888.412017167382,14,7,14,28
150.0,24090.128755364807,14,7,14,28
200.0,39510.7296137339,14,7,14,28
250.0,57656.65236051502,14,7,14,28
300.0,78038.62660944206,14,7,14,28
350.0,100351.9313304721,14,7,14,28
400.0,124356.22317596566,14,7,14,28
450.0,149849.7854077253,14,7,14,28
500.0,179085.83690987123,14,7,14,28
2.5,27.682403433476395,16,8,14,28
3.0,34.60944206008583,16,8,14,28
3.5,42.1587982832618,16,8,14,28
4.0,50.33476394849785,16,8,14,28
4.5,59.133047210300425,16,8,14,28
5.0,68.54077253218884,16,8,14,28
5.5,78.58369098712446,16,8,14,28
6.0,89.27038626609442,16,8,14,28
6.5,100.60085836909872,16,8,14,28
7.0,112.40343347639485,16,8,14,28
8.0,137.93991416309012,16,8,14,28
9.0,165.83690987124461,16,8,14,28
10.0,196.09442060085834,16,8,14,28
11.0,228.6695278969957,16,8,14,28
12.0,263.4763948497854,16,8,14,28
15.0,381.41630901287556,16,8,14,28
20.0,621.1158798283261,16,8,14,28
25.0,912.4463519313304,16,8,14,28
30.0,1253.175965665236,16,8,14,28
35.0,1641.3733905579397,16,8,14,28
40.0,2075.107296137339,16,8,14,28
45.0,2553.6480686695277,16,8,14,28
50.0,3074.6781115879826,16,8,14,28
55.0,3637.339055793991,16,8,14,28
60.0,4240.343347639485,16,8,14,28
65.0,4884.12017167382,16,8,14,28
70.0,5562.231759656652,16,8,14,28
80.0,7038.62660944206,16,8,14,28
90.0,8656.652360515021,16,8,14,28
100.0,10412.017167381973,16,8,14,28
150.0,21090.128755364807,16,8,14,28
200.0,35386.2660944206,16,8,14,28
250.0,51454.93562231759,16,8,14,28
300.0,68291.84549356223,16,8,14,28
350.0,87815.45064377681,16,8,14,28
400.0,108819.74248927039,16,8,14,28
450.0,131124.46351931329,16,8,14,28
500.0,154583.69098712446,16,8,14,28
2.5,28.19742489270386,19,9,14,28
3.0,34.952789699570815,19,9,14,28
3.5,42.27467811158798,19,9,14,28
4.0,50.17167381974249,19,9,14,28
4.5,58.64377682403433,19,9,14,28
5.0,67.6824034334764,19,9,14,28
5.5,77.29613733905579,19,9,14,28
6.0,87.46781115879827,19,9,14,28
